Time	Actual Torque	Actual Velocity
305	0.00237	0.0421078
305.5	0.00237	-0.00737227
306	0	0.0117391
306.5	0.00237	-0.00791681
307	0	0.00548732
307.5	0.00237	0.0318139
308	0.00237	-0.016619
308.5	0	0.0268292
309	0	-0.0263265
309.5	0.00237	0.00431445
310	0	0.00161268
310.5	0.00237	-0.0288922
311	0	0.0649262
311.5	0	0.00140324
312	0	-0.0181375
312.5	0.00237	-0.041469
313	-0.00237	0.0068382
313.5	0	0.0092677
314	0.00237	0.00317301
314.5	0	-0.057156
315	0	0.0443802
315.5	0.00237	0.0194255
316	0	-0.0312903
316.5	0.00237	-0.00963422
317	0.00237	0.00831475
317.5	0	0.00308923
318	0.00237	-0.0152367
318.5	0	0.014022
319	0.00237	0.0146922
319.5	0.00237	-0.0329344
320	0	0.0229232
320.5	0	0.000984366
321	0.00237	0.00472286
321.5	0.00237	-0.0389872
322	0	0.0437205
322.5	-0.00237	-0.00541401
323	0.00237	0.00390605
323.5	0.00237	0.0166504
324	0.00237	-0.0253317
324.5	0.00237	-0.00981224
325	0	-0.0119485
325.5	0.00237	0.044485
326	0	-0.0107024
326.5	0	-0.00411549
327	0.00237	-0.00405265
327.5	0.00237	0.024672
328	0.00237	-0.0137497
328.5	0.00237	-0.0397726
329	0	0.0172788
329.5	0.00237	0.00910015
330	0.00237	-0.00809484
330.5	0.00237	-0.00320442
331	0.00237	2.0944e-05
331.5	0.00237	-0.00180118
332	0.00237	0.0299917
332.5	0.00237	0.0221901
333	0	0.000356047
333.5	0.00237	0.0279392
334	0.00237	-0.0303478
334.5	0	0.036809
335	0.00237	-0.00431445
335.5	0	-0.0124721
336	0.00237	0.0062413
336.5	0	0.00352906
337	0.00237	0.000722566
337.5	0	-0.0184621
338	0	0.00912109
338.5	0	0.000376991
339	0.00237	0.014954
339.5	0.00237	0.0109432
340	0	-0.0140953
340.5	0	-0.0140848
341	0.00237	0.0132889
341.5	0.00237	0.00655546
342	0	-0.00641932
342.5	0.00237	-0.0134355
343	0	-0.011781
343.5	0.00237	-0.00997979
344	0	0.0413119
344.5	0	-0.0113621
345	0.00237	0.0200119
345.5	0	-0.00932006
346	0	0.0204832
346.5	0.00237	0.0169855
347	0	0.0213733
347.5	0	-0.00146608
348	0.00237	-0.00303687
348.5	0.00237	0.000837758
349	0.00237	0.0140324
349.5	0	0.0236248
350	0.00237	-0.0135298
350.5	0.00237	-0.0192475
351	0.00237	0.0128701
351.5	0	0.0142733
352	0	-0.0164829
352.5	0	-0.0310599
353	0	0.0198653
353.5	0	-0.0138649
354	0.00237	0.0204308
354.5	0.00237	0.0286618
355	0.00237	0.0112155
355.5	0.00237	0.00367566
356	0.00237	-0.0011205
356.5	0	-0.028756
357	0	0.0555538
357.5	0.00237	0.00898495
358	0	0.00358142
358.5	0	0.00949808
359	0	0.0273004
359.5	0.00237	-0.022808
360	0.00237	-0.0178966
360.5	0	0.00983319
361	0.00474	-0.0355
361.5	-0.00237	0.00942478
362	0	0.0172578
362.5	0.00237	-0.0226928
363	0.00237	0.00128805
363.5	0	0.0314788
364	0	0.0249757
364.5	0.00237	-2.0944e-05
365	0.00237	0.00135088
365.5	0.00237	-0.0212581
366	0	0.00153938
366.5	0	-0.0122417
367	0.00237	0.0258029
367.5	0	0.0114354
368	0.00237	-0.00131947
368.5	0.00237	0.000973894
369	0.00237	0.022808
369.5	0	-0.00303687
370	0.00237	0.00844041
370.5	0	0.00123569
371	0	-0.0336779
371.5	0	0.0114249
372	0	0.00378038
372.5	0.00237	0.0116658
373	0	-0.0215094
373.5	0.00237	-0.00170693
374	0.00237	0.0318557
374.5	0	-0.030819
375	0.00237	0.018483
375.5	0.00237	0.0320442
376	0	0.00804248
376.5	0.00237	-0.0181689
377	0.00237	0.01664
377.5	0	-0.015865
378	0	0.0223158
378.5	0.00237	-0.00891165
379	0	0.0506529
379.5	0.00237	-0.00966563
380	0.00237	-0.00111003
380.5	0.00237	0.0110689
381	0	-0.0258972
381.5	0	0.00489041
382	0	0.03084
382.5	0	0.00872316
383	0	-0.00182212
383.5	0.00237	-0.00859749
384	0	0.0186506
384.5	0	-0.0405998
385	0.00237	-0.0024295
385.5	0.00237	0.0255202
386	0.00237	0.00995885
386.5	0.00237	-0.000303687
387	0	0.00446106
387.5	0	-0.0261066
388	0.00237	0.0104929
388.5	-0.00237	0.0194255
389	0.00237	-0.00609469
389.5	0.00237	0.00540354
390	0	-0.0121056
390.5	0.00237	0.020368
391	0.00237	0.0135507
391.5	0	-0.0195512
392	0	-0.0136764
392.5	0	0.0154776
393	0.00237	-0.00417832
393.5	0.00237	-0.0278869
394	0.00237	0.00845088
394.5	0	0.022033
395	0	0.00688009
395.5	0	-0.0202947
396	0.00237	0.0320861
396.5	0.00237	-0.00161268
397	0	-0.000680678
397.5	0	0.00651357
398	0	0.0040736
398.5	0.00237	0.0177605
399	0.00237	-0.0104301
399.5	0.00237	0.00559203
400	0	-0.0145979
400.5	0	0.0125768
401	0	-0.0189752
401.5	0.00237	-0.0179071
402	0.00237	0.00263894
402.5	0	0.0100217
403	0	0.0431027
403.5	0.00237	0.0104406
404	0	-0.0137916
404.5	0	-0.0178128
405	0	0.0304106
405.5	0	-0.00845088
406	0	0.0295938
406.5	-0.00237	-0.0143466
407	0.00237	-0.00515221
407.5	0.00237	-0.0150587
408	0.00237	-0.0018326
408.5	0.00237	9.42478e-05
409	0.00237	0.0113621
409.5	0.00237	-0.0109746
410	0	-0.0249442
410.5	0.00237	-0.000575959
411	0	-0.00281696
411.5	0	0.0199177
412	0	0.0113726
412.5	0.00237	-0.00257611
413	0	0.015865
413.5	0	0.0146503
414	0.00237	0.00146608
414.5	0.00237	-0.00596903
415	0	0.0426314
415.5	0	-0.0119066
416	0	-0.0100531
416.5	0	0.0206612
417	0.00237	0.01531
417.5	0.00237	-0.00543496
418	0.00237	-0.00286932
418.5	0.00237	-0.0134984
419	0	0.0109642
419.5	0.00237	0.00997979
420	0.00237	-0.0176139
420.5	0	-0.0475742
421	0	0.0234258
421.5	0	0.0295414
422	0.00237	-0.0125454
422.5	0	0.00394793
423	0.00237	0.0293215
423.5	0.00237	0.0127025
424	0.00237	-0.0285675
424.5	-0.00237	-0.0345575
425	0	-0.00120428
425.5	0	0.030641
426	0	-0.0364529
426.5	0.00237	0.0208916
427	0	-0.0092677
427.5	0.00237	0.0347355
428	0	0.00958186
428.5	0	0.0190904
429	0.00237	-0.0117077
429.5	0	0.015687
430	0.00237	-0.00575959
430.5	0.00237	-0.00201062
431	0.00237	0.0298242
431.5	0.00237	0.00606327
432	0.00237	0.0140429
432.5	0	-0.0182945
433	0.00237	0.0334998
433.5	0.00237	0.0154043
434	0	0.00607375
434.5	0.00237	0.0322013
435	0.00237	-0.0115296
435.5	0	0.00950855
